Area_name,STCOU,PST025182F,PST025182D,PST025182N1,PST025182N2,PST025183F,PST025183D,PST025183N1,PST025183N2,PST025184F,PST025184D,PST025184N1,PST025184N2,PST025185F,PST025185D,PST025185N1,PST025185N2,PST025186F,PST025186D,PST025186N1,PST025186N2,PST025187F,PST025187D,PST025187N1,PST025187N2,PST025188F,PST025188D,PST025188N1,PST025188N2,PST025189F,PST025189D,PST025189N1,PST025189N2,PST030190F,PST030190D,PST030190N1,PST030190N2,PST035190F,PST035190D,PST035190N1,PST035190N2
"Cedar, IA",19031,0,18516,0000,0000,0,18577,0000,0000,0,18429,0000,0000,0,18217,0000,0000,0,17822,0000,0000,0,17478,0000,0000,0,17329,0000,0000,0,17380,0000,0000,0,17444,0000,0000,0,17447,0000,0000
"Cerro Gordo, IA",19033,0,48217,0000,0000,0,48061,0000,0000,0,48057,0000,0000,0,48494,0000,0000,0,48156,0000,0000,0,47356,0000,0000,0,47219,0000,0000,0,46839,0000,0000,0,46733,0000,0000,0,46773,0000,0000
"Cherokee, IA",19035,0,15868,0000,0000,0,15850,0000,0000,0,15656,0000,0000,0,15266,0000,0000,0,14842,0000,0000,0,14511,0000,0000,0,14277,0000,0000,0,14141,0000,0000,0,14098,0000,0000,0,14107,0000,0000
"Chickasaw, IA",19037,0,15213,0000,0000,0,15144,0000,0000,0,14897,0000,0000,0,14484,0000,0000,0,14174,0000,0000,0,13716,0000,0000,0,13539,0000,0000,0,13417,0000,0000,0,13295,0000,0000,0,13288,0000,0000
"Clarke, IA",19039,0,8721,0000,0000,0,8566,0000,0000,0,8493,0000,0000,0,8385,0000,0000,0,8288,0000,0000,0,8352,0000,0000,0,8407,0000,0000,0,8329,0000,0000,0,8287,0000,0000,0,8301,0000,0000
"Clay, IA",19041,0,19222,0000,0000,0,19202,0000,0000,0,18954,0000,0000,0,18384,0000,0000,0,17769,0000,0000,0,17314,0000,0000,0,17192,0000,0000,0,17451,0000,0000,0,17585,0000,0000,0,17654,0000,0000
"Clayton, IA",19043,0,20800,0000,0000,0,20601,0000,0000,0,20506,0000,0000,0,20178,0000,0000,0,19700,0000,0000,0,19411,0000,0000,0,19369,0000,0000,0,19217,0000,0000,0,19054,0000,0000,0,19064,0000,0000
"Clinton, IA",19045,0,56356,0000,0000,0,55326,0000,0000,0,54516,0000,0000,0,53585,0000,0000,0,52450,0000,0000,0,51720,0000,0000,0,51365,0000,0000,0,51063,0000,0000,0,51040,0000,0000,0,51091,0000,0000
"Crawford, IA",19047,0,18844,0000,0000,0,18816,0000,0000,0,18738,0000,0000,0,18332,0000,0000,0,17743,0000,0000,0,17616,0000,0000,0,17483,0000,0000,0,17061,0000,0000,0,16775,0000,0000,0,16737,0000,0000
"Dallas, IA",19049,0,29172,0000,0000,0,29322,0000,0000,0,29177,0000,0000,0,29245,0000,0000,0,28877,0000,0000,0,28806,0000,0000,0,29177,0000,0000,0,29312,0000,0000,0,29755,0000,0000,0,29904,0000,0000
"Davis, IA",19051,0,9024,0000,0000,0,8994,0000,0000,0,8929,0000,0000,0,8785,0000,0000,0,8686,0000,0000,0,8553,0000,0000,0,8378,0000,0000,0,8303,0000,0000,0,8312,0000,0000,0,8321,0000,0000
"Decatur, IA",19053,0,9580,0000,0000,0,9279,0000,0000,0,9095,0000,0000,0,8911,0000,0000,0,8782,0000,0000,0,8560,0000,0000,0,8466,0000,0000,0,8493,0000,0000,0,8338,0000,0000,0,8303,0000,0000
"Delaware, IA",19055,0,18719,0000,0000,0,18731,0000,0000,0,18749,0000,0000,0,18514,0000,0000,0,18057,0000,0000,0,17926,0000,0000,0,17985,0000,0000,0,18055,0000,0000,0,18035,0000,0000,0,18046,0000,0000
"Des Moines, IA",19057,0,45420,0000,0000,0,44711,0000,0000,0,44362,0000,0000,0,43847,0000,0000,0,43220,0000,0000,0,42947,0000,0000,0,42795,0000,0000,0,42604,0000,0000,0,42614,0000,0000,0,42668,0000,0000
"Dickinson, IA",19059,0,15384,0000,0000,0,15245,0000,0000,0,15219,0000,0000,0,15045,0000,0000,0,14812,0000,0000,0,14656,0000,0000,0,14727,0000,0000,0,14849,0000,0000,0,14909,0000,0000,0,14935,0000,0000
"Dubuque, IA",19061,0,91992,0000,0000,0,90293,0000,0000,0,89618,0000,0000,0,89096,0000,0000,0,87766,0000,0000,0,87122,0000,0000,0,87351,0000,0000,0,86647,0000,0000,0,86403,0000,0000,0,86462,0000,0000
"Emmet, IA",19063,0,13145,0000,0000,0,12823,0000,0000,0,12757,0000,0000,0,12407,0000,0000,0,11900,0000,0000,0,11648,0000,0000,0,11675,0000,0000,0,11531,0000,0000,0,11569,0000,0000,0,11592,0000,0000
"Fayette, IA",19065,0,24837,0000,0000,0,24457,0000,0000,0,24150,0000,0000,0,23379,0000,0000,0,22605,0000,0000,0,21999,0000,0000,0,21880,0000,0000,0,21844,0000,0000,0,21843,0000,0000,0,21889,0000,0000
"Floyd, IA",19067,0,19106,0000,0000,0,18997,0000,0000,0,18777,0000,0000,0,18523,0000,0000,0,17882,0000,0000,0,17537,0000,0000,0,17399,0000,0000,0,17312,0000,0000,0,17058,0000,0000,0,17056,0000,0000
"Franklin, IA",19069,0,12786,0000,0000,0,12720,0000,0000,0,12516,0000,0000,0,12400,0000,0000,0,12099,0000,0000,0,11795,0000,0000,0,11531,0000,0000,0,11394,0000,0000,0,11364,0000,0000,0,11351,0000,0000
"Fremont, IA",19071,0,9166,0000,0000,0,9063,0000,0000,0,9027,0000,0000,0,8830,0000,0000,0,8666,0000,0000,0,8670,0000,0000,0,8438,0000,0000,0,8254,0000,0000,0,8226,0000,0000,0,8236,0000,0000
"Greene, IA",19073,0,11791,0000,0000,0,11709,0000,0000,0,11491,0000,0000,0,11202,0000,0000,0,10822,0000,0000,0,10521,0000,0000,0,10310,0000,0000,0,10164,0000,0000,0,10045,0000,0000,0,10028,0000,0000
"Grundy, IA",19075,0,13947,0000,0000,0,13781,0000,0000,0,13512,0000,0000,0,13252,0000,0000,0,12803,0000,0000,0,12423,0000,0000,0,12276,0000,0000,0,12114,0000,0000,0,12029,0000,0000,0,12017,0000,0000
"Guthrie, IA",19077,0,11688,0000,0000,0,11551,0000,0000,0,11595,0000,0000,0,11419,0000,0000,0,11275,0000,0000,0,11050,0000,0000,0,11060,0000,0000,0,10919,0000,0000,0,10935,0000,0000,0,10941,0000,0000
"Hamilton, IA",19079,0,17591,0000,0000,0,17431,0000,0000,0,17203,0000,0000,0,16980,0000,0000,0,16830,0000,0000,0,16573,0000,0000,0,16459,0000,0000,0,16302,0000,0000,0,16071,0000,0000,0,16049,0000,0000
"Hancock, IA",19081,0,13582,0000,0000,0,13412,0000,0000,0,13498,0000,0000,0,13382,0000,0000,0,13095,0000,0000,0,12900,0000,0000,0,12865,0000,0000,0,12830,0000,0000,0,12638,0000,0000,0,12610,0000,0000
"Hardin, IA",19083,0,21547,0000,0000,0,21322,0000,0000,0,21321,0000,0000,0,20880,0000,0000,0,20273,0000,0000,0,19639,0000,0000,0,19387,0000,0000,0,19216,0000,0000,0,19094,0000,0000,0,19099,0000,0000
"Harrison, IA",19085,0,16036,0000,0000,0,15804,0000,0000,0,15630,0000,0000,0,15451,0000,0000,0,15345,0000,0000,0,15176,0000,0000,0,15080,0000,0000,0,14835,0000,0000,0,14730,0000,0000,0,14734,0000,0000
