Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Lampasas, TX",48281,0,2637,0000,0000,0,2572,0000,0000,0,2685,0000,0000,0,2657,0000,0000,0,2583,0000,0000,0,2674,0000,0000,0,2809,0000,0000,0,3038,0000,0000,0,3252,0000,0000,0,3484,0000,0000
"La Salle, TX",48283,0,1348,0000,0000,0,1264,0000,0000,0,1208,0000,0000,0,1164,0000,0000,0,1271,0000,0000,0,1309,0000,0000,0,1330,0000,0000,0,1324,0000,0000,0,1330,0000,0000,0,1388,0000,0000
"Lavaca, TX",48285,0,1981,0000,0000,0,2013,0000,0000,0,2033,0000,0000,0,2031,0000,0000,0,2072,0000,0000,0,2085,0000,0000,0,2124,0000,0000,0,2187,0000,0000,0,2233,0000,0000,0,2249,0000,0000
"Lee, TX",48287,0,2842,0000,0000,0,2879,0000,0000,0,2540,0000,0000,0,2479,0000,0000,0,2441,0000,0000,0,2571,0000,0000,0,2720,0000,0000,0,2836,0000,0000,0,2866,0000,0000,0,2897,0000,0000
"Leon, TX",48289,0,2663,0000,0000,0,2646,0000,0000,0,2659,0000,0000,0,2677,0000,0000,0,2653,0000,0000,0,2685,0000,0000,0,2800,0000,0000,0,2832,0000,0000,0,2926,0000,0000,0,2947,0000,0000
"Liberty, TX",48291,0,11801,0000,0000,0,11817,0000,0000,0,11717,0000,0000,0,11717,0000,0000,0,12088,0000,0000,0,12142,0000,0000,0,12487,0000,0000,0,12600,0000,0000,0,12861,0000,0000,0,12979,0000,0000
"Limestone, TX",48293,0,4019,0000,0000,0,4007,0000,0000,0,4021,0000,0000,0,3978,0000,0000,0,4026,0000,0000,0,4059,0000,0000,0,4050,0000,0000,0,4108,0000,0000,0,4146,0000,0000,0,4148,0000,0000
"Lipscomb, TX",48295,0,758,0000,0000,0,776,0000,0000,0,736,0000,0000,0,709,0000,0000,0,704,0000,0000,0,712,0000,0000,0,699,0000,0000,0,695,0000,0000,0,729,0000,0000,0,747,0000,0000
"Live Oak, TX",48297,0,2055,0000,0000,0,2059,0000,0000,0,2023,0000,0000,0,2040,0000,0000,0,2033,0000,0000,0,2111,0000,0000,0,2115,0000,0000,0,2109,0000,0000,0,2189,0000,0000,0,2180,0000,0000
"Llano, TX",48299,0,1310,0000,0000,0,1278,0000,0000,0,1234,0000,0000,0,1258,0000,0000,0,1242,0000,0000,0,1234,0000,0000,0,1280,0000,0000,0,1288,0000,0000,0,1388,0000,0000,0,1457,0000,0000
"Loving, TX",48301,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000,3,0,0000,0000
"Lubbock, TX",48303,0,40542,0000,0000,0,40987,0000,0000,0,41599,0000,0000,0,41739,0000,0000,0,42267,0000,0000,0,42359,0000,0000,0,42669,0000,0000,0,42853,0000,0000,0,42907,0000,0000,0,43047,0000,0000
"Lynn, TX",48305,0,1533,0000,0000,0,1565,0000,0000,0,1549,0000,0000,0,1602,0000,0000,0,1534,0000,0000,0,1563,0000,0000,0,1591,0000,0000,0,1667,0000,0000,0,1638,0000,0000,0,1655,0000,0000
"McCulloch, TX",48307,0,1685,0000,0000,0,1852,0000,0000,0,1830,0000,0000,0,1804,0000,0000,0,1727,0000,0000,0,1714,0000,0000,0,1734,0000,0000,0,1723,0000,0000,0,1751,0000,0000,0,1828,0000,0000
"McLennan, TX",48309,0,32150,0000,0000,0,32719,0000,0000,0,32992,0000,0000,0,33710,0000,0000,0,34107,0000,0000,0,35072,0000,0000,0,35881,0000,0000,0,35935,0000,0000,0,37620,0000,0000,0,38419,0000,0000
"McMullen, TX",48311,0,155,0000,0000,0,169,0000,0000,0,165,0000,0000,0,173,0000,0000,0,171,0000,0000,0,161,0000,0000,0,166,0000,0000,0,200,0000,0000,0,200,0000,0000,0,191,0000,0000
"Madison, TX",48313,0,1998,0000,0000,0,2001,0000,0000,0,1915,0000,0000,0,1822,0000,0000,0,1878,0000,0000,0,2009,0000,0000,0,2069,0000,0000,0,2060,0000,0000,0,2180,0000,0000,0,2216,0000,0000
"Marion, TX",48315,0,1519,0000,0000,0,1609,0000,0000,0,1579,0000,0000,0,1480,0000,0000,0,1506,0000,0000,0,1609,0000,0000,0,1602,0000,0000,0,1636,0000,0000,0,1677,0000,0000,0,1670,0000,0000
"Martin, TX",48317,0,1090,0000,0000,0,1089,0000,0000,0,1098,0000,0000,0,1083,0000,0000,0,1053,0000,0000,0,1063,0000,0000,0,1090,0000,0000,0,1105,0000,0000,0,1095,0000,0000,0,1093,0000,0000
"Mason, TX",48319,0,607,0000,0000,0,587,0000,0000,0,627,0000,0000,0,618,0000,0000,0,605,0000,0000,0,635,0000,0000,0,637,0000,0000,0,641,0000,0000,0,704,0000,0000,0,689,0000,0000
"Matagorda, TX",48321,0,8947,0000,0000,0,8819,0000,0000,0,8568,0000,0000,0,7843,0000,0000,0,8495,0000,0000,0,8630,0000,0000,0,8661,0000,0000,0,8750,0000,0000,0,8691,0000,0000,0,8775,0000,0000
"Maverick, TX",48323,0,9228,0000,0000,0,9345,0000,0000,0,9474,0000,0000,0,9136,0000,0000,0,10584,0000,0000,0,10685,0000,0000,0,11274,0000,0000,0,11452,0000,0000,0,11682,0000,0000,0,11585,0000,0000
"Medina, TX",48325,0,6295,0000,0000,0,6461,0000,0000,0,6421,0000,0000,0,6243,0000,0000,0,6422,0000,0000,0,6572,0000,0000,0,6740,0000,0000,0,7024,0000,0000,0,7271,0000,0000,0,7671,0000,0000
"Menard, TX",48327,0,426,0000,0000,0,409,0000,0000,0,409,0000,0000,0,413,0000,0000,0,420,0000,0000,0,449,0000,0000,0,420,0000,0000,0,450,0000,0000,0,446,0000,0000,0,445,0000,0000
"Midland, TX",48329,0,20480,0000,0000,0,20758,0000,0000,0,21245,0000,0000,0,20727,0000,0000,0,22365,0000,0000,0,23060,0000,0000,0,23590,0000,0000,0,24249,0000,0000,0,24556,0000,0000,0,24702,0000,0000
"Milam, TX",48331,0,4556,0000,0000,0,4494,0000,0000,0,4555,0000,0000,0,4540,0000,0000,0,4545,0000,0000,0,4597,0000,0000,0,4642,0000,0000,0,4722,0000,0000,0,4250,0000,0000,0,4726,0000,0000
"Mills, TX",48333,0,828,0000,0000,0,837,0000,0000,0,812,0000,0000,0,940,0000,0000,0,864,0000,0000,0,862,0000,0000,0,906,0000,0000,0,929,0000,0000,0,944,0000,0000,0,984,0000,0000
"Mitchell, TX",48335,0,1838,0000,0000,0,1861,0000,0000,0,1757,0000,0000,0,1747,0000,0000,0,1667,0000,0000,0,1617,0000,0000,0,1605,0000,0000,0,1610,0000,0000,0,1647,0000,0000,0,1619,0000,0000
"Montague, TX",48337,0,3247,0000,0000,0,3208,0000,0000,0,3240,0000,0000,0,3291,0000,0000,0,3246,0000,0000,0,3266,0000,0000,0,3316,0000,0000,0,3376,0000,0000,0,3398,0000,0000,0,3323,0000,0000
"Montgomery, TX",48339,0,73936,0000,0000,0,35448,0000,0000,0,36148,0000,0000,0,37506,0000,0000,0,38857,0000,0000,0,40475,0000,0000,0,42144,0000,0000,0,43663,0000,0000,0,45709,0000,0000,0,47641,0000,0000
"Moore, TX",48341,0,4079,0000,0000,0,4058,0000,0000,0,4071,0000,0000,0,3818,0000,0000,0,4191,0000,0000,0,4222,0000,0000,0,4430,0000,0000,0,4413,0000,0000,0,4509,0000,0000,0,4549,0000,0000
